,CountryName,SEIR,DN-SEIR,DN-SEIR min,DN-SEIR max
0,Afghanistan,163.10129109972775,435.2025800868898,500.7721181193241,366.7007343480901
1,Angola,8.689398502100676,3.7416573867739413,4.035556254807296,3.7416573867739413
2,Argentina,1734.8823618298172,801.8215868526222,802.4547161233284,690.4270934925507
3,Austria,526.6873363095772,230.97680774113604,235.7550181256564,99.58341801152008
4,Bangladesh,1392.4332417779458,1976.0746804858218,2223.978160221646,1722.1588196214657
5,Barbados,0.4475250791667878,1.3627702877384937,1.8516401995451028,0.7559289460184544
6,Belgium,4844.539356278496,2368.0997807162967,2603.2405903851013,1432.5589491735211
7,Benin,26.61934038538653,11.071198154284321,12.409673645990857,10.0
8,Bolivia,166.26458753475688,298.0457778836763,328.5285375732221,266.1916602750732
9,Botswana,0.6755921302822812,3.779644730092272,3.779644730092272,3.401680257083045
10,Brazil,85901.1638971034,24878.278428609738,24891.91117899261,22811.293506256312
11,Bulgaria,533.1056777912992,339.22495696598065,339.22495696598065,311.1425947788478
12,Burkina Faso,27.763922123363937,21.517434791350013,27.743725159291166,21.62340002338736
13,Cameroon,45.51699292941788,358.4157601764425,400.0073213615685,314.8237602214928
14,Chile,12695.364010007836,3146.5162141190826,3153.8074948046074,2727.8168664965133
15,Colombia,4736.148321578146,1462.7980038269125,1463.9405237723483,1306.5180005320576
16,Costa Rica,13.254193485547747,18.818683725033935,28.77498913987632,14.382529084175108
17,Croatia,126.29989128412102,95.0759095219634,95.35797217402883,62.48199740725323
18,Dominican Republic,841.7888134878001,1051.7807348899837,1241.0348216595007,861.1254264043073
19,Ecuador,3394.411478289458,12312.461689570566,12766.751740360583,11826.163367719897
20,El Salvador,99.39383439937541,91.1129597179865,101.86125016763876,79.99910713787463
21,Finland,1162.2562832034023,590.611668405851,591.2523029251436,484.0497318015401
22,France,11480.283025464882,1815.329013862619,1884.1933855859154,7325.154966668916
23,Gabon,32.4443458259243,65.85373403015417,73.72342136080539,57.265047928782124
24,Germany,12293.133328422153,8161.1359853532995,8178.128112751195,5880.557723792629
25,Ghana,424.0271887602908,539.6812551338587,587.6169792353811,488.43745030161523
26,Greece,155.48588449746595,127.15962971230857,128.01841385407917,97.83586838607374
27,Guatemala,84.23414805833943,144.2700840190271,160.6317883501626,128.01618201283327
28,Hungary,626.44787263377,352.40682659189713,353.018413117503,265.9924810967408
29,India,32998.3215102853,9620.390777628823,9623.693744384964,8576.147869860588
30,Indonesia,4456.034655876578,1835.7733675873112,1836.8768525485239,1524.8853821095631
31,Iraq,150.09966635350648,248.64317519575835,280.7655351254596,213.79329135539174
32,Ireland,3244.2676862601197,2836.67347937182,2852.4142155624695,2059.8075499563406
33,Israel,895.5463743700715,1318.6318125780438,1348.9817323765783,1011.4128731630817
34,Italy,18954.49777523529,9503.36066121574,9528.284023294616,6363.287941667532
35,Jamaica,34.10483071029576,117.1476479856571,130.46674453120775,104.09061986008702
36,Japan,2082.8977370393654,2325.3610472354612,2325.3610472354612,1894.227961843181
37,Jordan,29.38426516340834,23.20098520075633,23.600847442411894,19.97140813405862
38,Kazakhstan,242.88323915279406,741.9143192733627,841.3903459665521,640.3477849686728
39,Kenya,258.30064490268023,68.40112781025094,68.40112781025094,60.658293509037755
40,Kuwait,3593.8773472473827,1228.6549556323778,1232.8615957542495,1130.0879864607255
41,Lebanon,30.910533950008052,24.112830016996583,30.46074757548053,15.757084574429188
42,Libya,19.812537215047477,8.968197780411147,5.056820005836531,13.794408805226642
43,Luxembourg,77.45097566680492,112.87350695104928,117.22018353752664,80.46916001975984
44,Malaysia,249.24045929730235,288.9935738287025,351.38928351819237,194.00994083514675
45,Mali,31.267259936878155,117.90068459755197,134.1198824080265,101.38892585343966
46,Mexico,17519.52773093055,5325.81081687501,5328.134436313387,4843.443757139276
47,Moldova,29.875983797288388,622.4547028843602,744.752403726999,505.2850680556472
48,Mozambique,12.670470069984399,30.106952210885968,31.67919551648098,28.160255680657446
49,Namibia,0.08932198207144094,0.0,0.0,0.0
50,Netherlands,4225.887454964162,2768.4177533643397,2791.2543007451995,1985.523536573091
51,New Zealand,21.546526396275592,19.283597767458822,19.3980853252509,17.008401285415225
52,Nicaragua,0.8153873771893808,0.9258200997725514,1.1338934190276817,0.8451542547285166
53,Niger,33.686628954344634,42.92518408313968,47.32109164300539,28.405230906597872
54,Nigeria,2620.0558321340914,657.1367546300498,657.4277798467948,623.9563858384425
55,Norway,206.96958749532482,287.6314606277574,289.0496744258922,204.25789021304837
56,Pakistan,1676.6915341126,3469.9316790309945,3900.1249979968593,3029.7389090716806
57,Panama,441.62260746543603,991.6487713471366,1167.6155189102276,816.3300277986314
58,Paraguay,114.1607029365365,23.757705516917483,30.02855783607141,18.439088914585774
59,Peru,34987.77904288448,11478.253407453343,11494.456458907236,10349.405372842855
60,Philippines,230.56015752122624,646.0426788201712,871.0443649518006,463.57924272524787
61,Portugal,3337.7185719569325,2443.3814099083497,2452.9768795136597,1858.5523936655648
62,Qatar,948.4547519921947,4074.9416472596795,4396.953084645255,3731.9308866667325
63,Romania,3831.595596218217,1779.4821076449664,1780.2302018077805,1434.77265496265
64,Rwanda,30.08690289623245,56.729936667386774,60.65711594104779,52.4799281358393
65,Saudi Arabia,17026.087390580782,7583.447180725738,7606.029084126054,7033.2141910468545
66,Serbia,514.4902545695758,1145.1006194092415,1463.1160485171952,885.6093947107834
67,Singapore,2442.366164786191,4335.029312802526,4781.4108348298805,3901.7460011055123
68,Slovenia,49.841730033873034,32.11363751252284,35.11409973215888,18.969900971200214
69,South Africa,4102.808696159555,1332.3129190568236,1336.1356325506138,1218.3637153400223
70,Spain,14626.155065421834,1241.3848257950817,1201.2220563124158,6192.220107291315
71,Sweden,6602.6290148699645,2723.85863383966,2727.1945815644117,2222.5417881335775
72,Switzerland,969.8469061369484,661.1279322923384,665.5804126582195,397.45296217647837
73,Tanzania,73.13989270031307,108.04430308244591,122.1720098876989,93.53150729643384
74,Thailand,102.91028602402554,105.47917871721008,130.85706487832985,87.59729284792833
75,Turkey,5845.296361889234,17959.59745412702,18700.208291429728,14063.104468278485
76,Uganda,12.083268648951815,12.047524938461724,12.047524938461724,11.332633031584999
77,United Arab Emirates,5831.654679578981,3140.9139479730147,3152.127172923979,2729.6845186630217
78,United Kingdom,58882.98131735205,19361.20487322153,19361.91259369059,14091.357001469274
79,Uruguay,85.78517051571436,71.6120500634196,71.6120500634196,67.09694478886502
80,Zambia,27.356062254861566,21.334077367977674,22.944031281110377,19.17215242406101
81,Zimbabwe,3.297429621943029,5.154748157905347,6.380774695464941,3.854496446637726
